티어,사람수
0,6
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,1
10,1
11,0
12,0
13,2
14,0
15,1
16,2
17,1
18,0
19,0
20,0
21,1
22,3
23,1
24,0
25,1
26,1
27,0
28,1
29,0
30,0
