티어,사람수,시도 횟수
0,6,36
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,1,4
10,1,1
11,0,0
12,0,0
13,1,1
14,0,0
15,1,3
16,2,7
17,1,13
18,0,0
19,0,0
20,0,0
21,0,0
22,3,13
23,1,1
24,0,0
25,1,1
26,1,1
27,0,0
28,0,0
29,0,0
30,0,0
